1:software test engineer -hyderabad,24:manual testing;25:test engineering;26:test cases;27:web testing;28:web technologies
2:magento developer,13:computer science;28:web technologies;44:git;59:website;61:xml;65:seo;72:monitoring;74:email;83:facebook;95:customer service;102:analytical;107:copyright;108:jquery;109:javascript;110:cakephp;111:open source;112:css3;143:html;145:json;147:sql;148:conceptualization;152:development;154:it;166:c++;170:oops;172:debugging;177:mysql;185:agile;186:rest;226:troubleshooting;243:c;249:svn;257:developing;264:team management;276:php;278:css;280:technical;282:mca;283:ajax;284:application;285:web;286:design;300:programming;307:applications;323:bca;361:backend;380:linux;406:cv;411:erp;427:quality;429:com;441:software;445:coding;464:interpersonal skills;476:mvc;506:xhtml;519:unix;523:magento;524:shopify;525:web development;547:architecture;549:business executive;557:senior;566:database;567:object oriented programming;568:support;598:zend;620:verbal;737:cms;830:html5;864:module;884:version control;885:prototype;912:offshore;944:service;951:jira;966:laravel;998:developer;1037:scrum;1072:ui;1118:deployment;1148:cvs;1151:e-commerce;1229:web services;1556:pl;1735:core php;1786:time management;1815:sound;1833:monitor;1910:rdbms;2062:software developer;2075:magento developer;2284:visual design;2388:performance optimization;2591:zend framework;2848:technical skills;3274:symfony;3949:github;4742:payment gateways;4934:mvc architecture;5770:translation
3:business development / corporate sales,128:lead generation;129:business development;130:corporate sales
4:business development manager (bdm),4:closing;118:business development manager;125:sales;131:contract management;132:it services;133:relationship building;134:managed services;135:selling;136:market research;820:events;1046:organizing;2910:revenue;3135:development manager;3602:targets;3849:marketing strategies;4702:seminars;7536:new products;13843:sales revenue;13844:executing
5:back end java developer - restful services/soap,138:java ee;139:jms;140:core java;141:junit;142:weblogic;143:html;144:jpa;145:json;146:soap;147:sql
6:opening for articulate tool developer - articulate / captivate)chennai,155:articulate storyline
7:software engineer - c++ development - ooad/oops,113:c#;164:java;165:oop;166:c++;167:multithreading;168:uml;169:ooad;170:oops;171:.net;172:debugging
8:java developer,12:technology;13:computer science;20:management;23:technical support;28:web technologies;43:azure;44:git;46:docker;49:aws;61:xml;70:workflow;72:monitoring;81:sem;102:analytical;106:analytical skills;108:jquery;109:javascript;111:open source;112:css3;132:it services;138:java ee;139:jms;140:core java;142:weblogic;143:html;144:jpa;145:json;146:soap;147:sql;150:continuous improvement;152:development;153:front end;154:it;164:java;166:c++;167:multithreading;168:uml;170:oops;171:.net;172:debugging;176:networking;177:mysql;180:hibernate;181:project management;182:jdbc;184:microservices;185:agile;186:rest;188:banking;189:j2ee;190:api;226:troubleshooting;229:virtualization;231:python;243:c;248:sonar;249:svn;250:spring;251:oracle 11g;255:english;270:budgeting;278:css;279:software development;280:technical;282:mca;283:ajax;284:application;285:web;286:design;289:training;293:android;294:btech;296:server;300:programming;301:testing;304:application development;305:eclipse;306:sdk;357:data structures;359:software design;361:backend;380:linux;406:cv;411:erp;412:mis;418:recruitment;427:quality;431:time;432:cloud;435:jenkins;441:software;444:usage;445:coding;447:performance testing;464:interpersonal skills;476:mvc;480:writing skills;503:tools;519:unix;526:singleton;527:struts;528:spring boot;547:architecture;549:business executive;557:senior;564:microsoft;566:database;567:object oriented programming;568:support;589:documentation;590:algorithms;591:sql server;596:application programming;599:software services;618:writing;631:analytics;663:informatica;770:billing;789:six sigma;791:oracle;792:assembly language;830:html5;831:multimedia;833:user interface;848:life cycle;853:financial reporting;861:business process;863:sdlc;873:back office;879:spring framework;884:version control;935:web designing;944:service;946:stores;951:jira;952:financial services;962:software development life cycle;998:developer;1015:mongodb;1020:design patterns;1022:angularjs;1037:scrum;1045:production support;1068:compliance;1074:infrastructure;1075:operational risk;1079:soa;1107:nosql;1108:cassandra;1112:spring mvc;1114:jsf;1118:deployment;1152:crm;1175:design development;1178:automation testing;1185:ips;1220:customers;1229:web services;1252:middleware;1256:test scripts;1305:application software;1315:apache;1317:hadoop;1318:big data;1344:verbal communication;1347:eclipse ide;1351:tomcat;1384:java web services;1385:advanced java;1386:spring security;1396:team leading;1413:solution architecture;1433:oracle database;1527:architects;1549:oracle sql;1552:web application;1555:db2;1571:performance management;1589:optimization;1600:instrumentation;1655:metadata;1729:agile methodology;1730:unit testing;1731:sql queries;1748:plsql;1764:business analysts;1765:lead developers;1767:architect;1831:project development;1833:monitor;1848:mvc framework;1905:functions;1908:jboss;1909:solution design;1910:rdbms;1926:technical product configuration;1927:integration php;1929:jsp;1946:wcf;1949:redis;1950:postgresql;1968:jsp servlets;1977:operational support;1978:helpdesk;1980:downstream;2025:cloud security;2062:software developer;2143:mobile testing;2244:maven;2245:infrastructure management;2259:agile development;2260:investigation;2348:gradle;2385:effort estimation;2426:ux;2520:collections;2577:technical design;2607:architectural design;2633:individual contributor;2658:servlets;2694:embedded software;2720:selection process;2737:dba;2745:interfaces;2780:backbone.js;2846:web application development;2905:object oriented design;2909:software solutions;2978:continuous integration;3077:messaging;3112:netbeans;3133:ejb;3153:large;3154:complex;3292:spring batch;3300:paas;3358:development testing;3514:swing;3652:structs;3730:java beans;3731:xsl;3732:orm;3857:bpm;3920:websphere;4283:core java developer;4294:pega;4386:system development;4642:weblogic server;4707:elastic search;4934:mvc architecture;4978:tiles;5000:product engineering;5262:akka;5391:cryptography;5408:web applications;6362:hi;6363:rnate;7081:java servlets;7359:primary skills;7456:rabbitmq;7480:xmpp;7544:lotus notes;7795:collection framework;7854:java developer;7976:java j2ee developer;8064:programming skills;8546:gwt;9198:amdocs;10494:accounts reconciliation;11017:springs;11534:smart card;11808:j2ee architecture;12381:dao;12451:sprint boot;13216:applets;13596:java technical lead;14015:visual studiosoftware development life cycle
9:odi developer/lead odi developer - raci,274:odi;275:matrix
10:ui developer,2:digital media;13:computer science;19:research;28:web technologies;29:adobe experience manager;35:adobe;44:git;59:website;61:xml;74:email;83:facebook;108:jquery;109:javascript;111:open source;112:css3;125:sales;136:market research;140:core java;143:html;145:json;147:sql;151:side;152:development;153:front end;158:fmcg;164:java;166:c++;171:.net;172:debugging;177:mysql;181:project management;185:agile;186:rest;201:administration;226:troubleshooting;231:python;243:c;257:developing;270:budgeting;276:php;277:php mysql;278:css;279:software development;280:technical;281:photoshop;282:mca;283:ajax;284:application;285:web;286:design;293:android;296:server;301:testing;302:mobile;304:application development;309:bpo;341:information technology;358:http;360:system design;361:backend;380:linux;427:quality;441:software;444:usage;445:coding;476:mvc;478:technical documentation;503:tools;506:xhtml;519:unix;525:web development;547:architecture;549:business executive;554:internship;568:support;631:analytics;633:chemistry;700:risk management;770:billing;789:six sigma;791:oracle;792:assembly language;793:real time operating systems;798:business intelligence;814:layout;824:illustrator;827:usability;829:bootstrap;830:html5;863:sdlc;881:manager technology;898:level;924:corel draw;927:pdf;935:web designing;951:jira;952:financial services;968:telecom;998:developer;1019:ui development;1022:angularjs;1037:scrum;1047:management consulting;1072:ui;1114:jsf;1172:grunt;1175:design development;1196:pharma;1229:web services;1317:hadoop;1416:data warehousing;1470:user interface designing;1555:db2;1722:tdd;1730:unit testing;1746:specification;1848:mvc framework;1910:rdbms;1929:jsp;2043:testing tools;2066:mobile applications;2170:powerpoint;2196:word;2220:extjs;2224:integration testing;2244:maven;2298:basic;2305:product design;2426:ux;2463:tool design;2537:dreamweaver;2538:web ui;2630:usability testing;2851:medical insurance;2914:jquery mobile;2995:xslt;3077:messaging;3125:internet applications;3307:interaction design;3752:adobe cs5;3753:web 2.0;3819:prototyping;3949:github;4085:security services;4380:pre;7075:product analysis;7081:java servlets;7308:accessibility;9700:dwr
